Time,Power (CH1),Power (CH2)
1020,20.8782825469971,3.66740989685059
1025,20.8782825469971,3.73013401031494
1030,20.8782825469971,3.69137978553772
1035,20.8782825469971,3.71814012527466
1040,20.8782825469971,3.75412201881409
1045,20.8782825469971,3.71814012527466
1050,20.8782825469971,3.71814012527466
1055,20.8782825469971,3.73013401031494
1060,20.8782825469971,3.71534991264343
1065,20.8782825469971,3.59820032119751
1070,20.8782825469971,3.59820032119751
1075,20.8782825469971,3.71814012527466
1080,20.8782825469971,3.6221878528595
1085,20.8782825469971,3.69692397117615
1090,20.8832778930664,3.6221878528595
1095,20.8832778930664,3.69692397117615
1100,20.8832778930664,3.7209300994873
1105,20.8832778930664,3.67567205429077
1110,20.8832778930664,3.59820032119751
1115,20.8832778930664,3.64343976974487
1120,20.8832778930664,3.59820032119751
1125,20.8832778930664,3.64617609977722
1130,20.8832778930664,3.73013401031494
1135,20.8832778930664,3.59820032119751
1140,20.8832778930664,3.59820032119751
1145,20.8832778930664,3.75412201881409
1150,20.8832778930664,3.67016410827637
1155,20.8832778930664,3.73013401031494
1160,20.8832778930664,3.67567205429077
1165,20.8832778930664,3.69137978553772
1170,20.8832778930664,3.58620595932007
1175,20.8832778930664,3.6221878528595
1180,20.8832778930664,3.64343976974487
1185,20.8832778930664,3.59820032119751
1190,20.8832778930664,3.59820032119751
1195,20.8832778930664,3.6221878528595
1200,20.8832778930664,3.7209300994873
1205,20.8832778930664,3.64617609977722
1210,20.8832778930664,3.69415211677551
1215,20.8832778930664,3.67291808128357
1220,20.8832778930664,3.69415211677551
1225,20.8832778930664,3.58620595932007
1230,20.8832778930664,3.64617609977722
1235,20.8832778930664,3.67016410827637
1240,20.8832778930664,3.6221878528595
1245,20.8832778930664,3.59820032119751
1250,20.8832778930664,3.67291808128357
1255,20.8832778930664,3.73013401031494
1260,20.8832778930664,3.6221878528595
1265,20.8832778930664,3.75412201881409
1270,20.8832778930664,3.75412201881409
1275,20.8832778930664,3.73013401031494
1280,20.8932723999023,3.77811002731323
1285,20.8932723999023,3.67842578887939
1290,20.8832778930664,3.69137978553772
1295,20.8932723999023,3.58620595932007
1300,20.8832778930664,3.7209300994873
1305,20.8932723999023,3.6221878528595
1310,20.8932723999023,3.59820032119751
1315,20.8932723999023,3.6221878528595
1320,20.8932723999023,3.7209300994873
1325,20.8932723999023,3.67016410827637
1330,20.8932723999023,3.75412201881409
1335,20.8932723999023,3.6221878528595
1340,20.8932723999023,3.6221878528595
1345,20.8932723999023,3.71814012527466
1350,20.8932723999023,3.6221878528595
1355,20.8932723999023,3.6221878528595
1360,20.8932723999023,3.59820032119751
1365,20.8932723999023,3.6221878528595
1370,20.8932723999023,3.73013401031494
1375,20.8932723999023,3.71534991264343
1380,20.8932723999023,3.59820032119751
1385,20.8932723999023,3.59820032119751
1390,20.8932723999023,3.59820032119751
1395,20.8932723999023,3.75412201881409
1400,20.8932723999023,3.59820032119751
1405,20.8832778930664,3.75412201881409
1410,20.8932723999023,3.67016410827637
1415,20.8932723999023,3.59820032119751
1420,20.8932723999023,3.69137978553772
1425,20.8932723999023,3.6221878528595
1430,20.8932723999023,3.6221878528595
1435,20.8932723999023,3.75412201881409
1440,20.8932723999023,3.73013401031494
1445,20.8932723999023,3.71814012527466
1450,20.8932723999023,3.64617609977722
1455,20.8932723999023,3.64617609977722
1460,20.8932723999023,3.71814012527466
1465,20.8932723999023,3.77811002731323
1470,20.8932723999023,3.67016410827637
1475,20.8932723999023,3.69415211677551
1480,20.8932723999023,3.64617609977722
1485,20.8932723999023,3.75412201881409
1490,20.8932723999023,3.73013401031494
1495,20.8932723999023,3.73293304443359
1500,20.8932723999023,3.75412201881409
1505,20.8932723999023,3.73013401031494
1510,20.8932723999023,3.67016410827637
1515,20.8832778930664,3.71814012527466
1520,20.8782825469971,3.73013401031494
1525,20.8782825469971,3.59820032119751
1530,20.8782825469971,3.75412201881409
1535,20.8782825469971,3.67291808128357
1540,20.8782825469971,3.67016410827637
1545,20.8782825469971,3.59820032119751
1550,20.8832778930664,3.67016410827637
1555,20.8782825469971,3.58620595932007
1560,20.8782825469971,3.59820032119751
1565,20.8782825469971,3.59820032119751
1570,20.8782825469971,3.64617609977722
1575,20.8782825469971,3.75412201881409
1580,20.8782825469971,3.75412201881409
1585,20.8782825469971,3.69415211677551
1590,20.8782825469971,3.6221878528595
1595,20.8782825469971,3.69137978553772
1600,20.8782825469971,3.69415211677551
1605,20.8782825469971,3.70946002006531
1610,20.8782825469971,3.59820032119751
1615,20.8782825469971,3.6221878528595
1620,20.8782825469971,3.69415211677551
1625,20.8782825469971,3.59820032119751
1630,20.8782825469971,3.59820032119751
1635,20.8782825469971,3.6221878528595
1640,20.8782825469971,3.6221878528595
1645,20.8782825469971,3.69692397117615
1650,20.8782825469971,3.6516478061676
1655,20.8782825469971,3.58620595932007
1660,20.8782825469971,3.6516478061676
1665,20.8782825469971,3.64617609977722
1670,20.8782825469971,3.58620595932007
1675,20.8782825469971,3.58620595932007
1680,20.8782825469971,3.64891195297241
1685,20.8782825469971,3.6221878528595
1690,20.8782825469971,3.73013401031494
1695,20.8782825469971,3.64617609977722
1700,20.8682918548584,3.6221878528595
1705,20.8782825469971,3.58620595932007
1710,20.8782825469971,3.58620595932007
1715,20.8782825469971,3.73013401031494
1720,20.8682918548584,3.75412201881409
1725,20.8782825469971,3.69415211677551
1730,20.8782825469971,3.71814012527466
1735,20.8782825469971,3.58620595932007
1740,20.8782825469971,3.73293304443359
1745,20.8682918548584,3.56221795082092
1750,20.8682918548584,3.56221795082092
1755,20.8682918548584,3.58620595932007
1760,20.8682918548584,3.7209300994873
1765,20.8682918548584,3.58620595932007
1770,20.8682918548584,3.69415211677551
1775,20.8682918548584,3.66740989685059
1780,20.8682918548584,3.6221878528595
1785,20.8682918548584,3.6221878528595
1790,20.8682918548584,3.59820032119751
1795,20.8682918548584,3.67291808128357
1800,20.8682918548584,3.59820032119751
1805,20.8682918548584,3.59820032119751
1810,20.8682918548584,3.64617609977722
1815,20.8682918548584,3.6221878528595
1820,20.8682918548584,3.6221878528595
1825,20.8682918548584,3.73013401031494
1830,20.8682918548584,3.69415211677551
1835,20.8682918548584,3.67016410827637
1840,20.8682918548584,3.6516478061676
1845,20.8682918548584,3.73013401031494
1850,20.8682918548584,3.58620595932007
1855,20.8682918548584,3.6221878528595
1860,20.8682918548584,3.6516478061676
1865,20.8682918548584,3.59820032119751
1870,20.8682918548584,3.69415211677551
1875,20.8682918548584,3.66740989685059
1880,20.8682918548584,3.59820032119751
1885,20.8682918548584,3.67016410827637
1890,20.8682918548584,3.56221795082092
1895,20.8682918548584,3.68860793113709
1900,20.8682918548584,3.71814012527466
1905,20.8682918548584,3.6221878528595
1910,20.8682918548584,3.66740989685059
1915,20.8682918548584,3.62762379646301
1920,20.8682918548584,3.67016410827637
1925,20.8682918548584,3.58620595932007
1930,20.8682918548584,3.6221878528595
1935,20.8682918548584,3.67291808128357
1940,20.8682918548584,3.73013401031494
1945,20.8682918548584,3.69415211677551
1950,20.8682918548584,3.58620595932007
1955,20.8682918548584,3.73013401031494
1960,20.8682918548584,3.67016410827637
1965,20.8682918548584,3.64617609977722
1970,20.8682918548584,3.56221795082092
1975,20.8682918548584,3.58620595932007
1980,20.8682918548584,3.71814012527466
1985,20.8682918548584,3.56221795082092
1990,20.8682918548584,3.56221795082092
1995,20.8682918548584,3.59820032119751
2000,20.8682918548584,3.56221795082092
2005,20.8682918548584,3.67016410827637
2010,20.8682918548584,3.58620595932007
2015,20.8682918548584,3.71814012527466
2020,20.8682918548584,3.73013401031494
2025,20.8682918548584,3.56221795082092
2030,20.8682918548584,3.59820032119751
2035,20.8682918548584,3.67291808128357
2040,20.8682918548584,3.64891195297241
2045,20.8682918548584,3.56221795082092
2050,20.8682918548584,3.6221878528595
2055,20.8682918548584,3.73013401031494
2060,20.8682918548584,3.71814012527466
2065,20.8682918548584,3.68552780151367
2070,20.8682918548584,3.62762379646301
2075,20.8682918548584,3.59820032119751
2080,20.8682918548584,3.56221795082092
2085,20.8682918548584,3.64617609977722
2090,20.8682918548584,3.69415211677551
2095,20.8682918548584,3.56221795082092
2100,20.8682918548584,3.73013401031494
2105,20.8682918548584,3.71814012527466
2110,20.8682918548584,3.58620595932007
2115,20.8682918548584,3.58620595932007
2120,20.8682918548584,3.59820032119751
2125,20.8682918548584,3.62490582466125
2130,20.8682918548584,3.69692397117615
2135,20.8682918548584,3.61946964263916
2140,20.8682918548584,3.59549999237061
2145,20.8682918548584,3.64891195297241

